side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-17 12:35:00+00:00,2022-01-17 12:45:00+00:00,2022-01-17 14:05:00+00:00,142.37151999000199,143.10103298428876,143.0438154581055,141.75618452189448,141.11236905378897,19.168149831050954,-13.983414378187595,-14.256314240871877,0.0,0.0,0.0,-1.0851077076938442,STOP,False,0.27289986268428246,1.3333333333333333,,1.0
LONG,2022-01-19 01:05:00+00:00,2022-01-19 01:10:00+00:00,2022-01-19 01:45:00+00:00,140.758146010002,142.209414200688,139.98318173282777,141.47681828717222,142.22363656434445,16.285819187816976,17.554425759821957,17.439807674065396,0.0,5.736880086550765,0.0,1.3908981675182464,TP2,True,0.11461808575656171,0.5833333333333334,142.209414200688,1.0
LONG,2022-01-19 15:55:00+00:00,2022-01-19 16:00:00+00:00,2022-01-19 16:10:00+00:00,136.997394010002,135.61484499929972,135.66911264435745,138.27088737564256,139.5717747412851,9.516999973317807,-13.15771889796427,-13.288099317478048,0.0,0.0,0.0,-1.0408555344231611,STOP,False,0.13038041951377982,0.16666666666666666,,1.0
SHORT,2022-01-19 18:20:00+00:00,2022-01-19 18:25:00+00:00,2022-01-19 22:25:00+00:00,136.852623990002,136.907365039598,137.85364095662248,135.9063590233775,134.932718056755,12.545121047045036,5.506889641478556,5.42104800480054,0.0,5.850256188190636,0.0,0.43852067966946523,STOP,True,0.08584163667801574,4.0,135.91994965927984,1.0
LONG,2022-01-20 07:25:00+00:00,2022-01-20 07:40:00+00:00,2022-01-20 08:00:00+00:00,137.477490010002,136.96847524669198,137.02328456051617,137.87671545948382,138.30343090896764,28.783131469831666,-14.651038852437148,-15.046742119347185,0.0,0.0,0.0,-1.1206707534800415,STOP,False,0.39570326691003566,0.3333333333333333,,1.0
LONG,2022-01-20 12:50:00+00:00,2022-01-20 12:55:00+00:00,2022-01-20 13:30:00+00:00,137.337462010002,138.19000940875438,136.86308511913325,137.75691490086678,138.20382979173354,27.061355200659126,17.024631386061248,16.838804493970763,0.0,5.489087394543403,0.0,1.3261866485767728,TP2,True,0.18582689209048467,0.5833333333333334,138.19000940875438,1.0
SHORT,2022-01-21 00:45:00+00:00,2022-01-21 00:50:00+00:00,2022-01-21 01:05:00+00:00,127.614471990002,125.02170039954878,128.9554002451996,126.32459973480042,125.00919947960082,9.354268872721887,18.100563521079117,18.040876516926872,0.0,5.973822229752005,0.0,1.4430344691003105,TP2,True,0.059687004152245746,0.25,125.02170039954878,1.0
SHORT,2022-01-21 03:05:00+00:00,2022-01-21 03:10:00+00:00,2022-01-21 12:10:00+00:00,125.31493199000201,120.1137350490487,127.95913754671949,122.72086243328053,120.10172487656105,4.784062825069703,18.61716711572725,18.587191390349272,0.0,6.175740650186757,0.0,1.47170752131186,TP2,True,0.029975725377975337,9.0,120.1137350490487,1.0
SHORT,2022-01-21 19:25:00+00:00,2022-01-21 19:30:00+00:00,2022-01-21 20:30:00+00:00,122.54548599000199,117.44151977228326,125.1401115876981,119.9998883923019,117.4297767946038,4.965721536238156,18.9630075890199,18.93258125107243,0.0,6.290570105240932,0.0,1.4718046089889332,TP2,True,0.03042633794746621,1.0,117.44151977228326,1.0
SHORT,2022-01-21 23:30:00+00:00,2022-01-21 23:35:00+00:00,2022-01-22 00:30:00+00:00,111.98759799000202,112.03239302919802,114.25748993957842,109.7625100404216,107.5150200908432,5.783837110952038,6.273487099965346,6.241101198704298,0.0,6.403030705009543,0.0,0.47784579785509124,STOP,True,0.032385901261047574,0.9166666666666666,109.77348629142564,1.0
