side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps,fee_taker_rate_applied,fee_maker_rate_applied,fee_paid_usd,notional_usd,risk_per_trade,risk_usd
LONG,2017-08-17 05:45:00+00:00,2017-08-17 05:50:00+00:00,2017-08-17 05:50:00+00:00,4297.899408010002,4314.01566433939,4288.498241301337,4305.581758718663,4314.123517427326,0.034907750451392335,0.41349919061772467,0.41349919061772467,0.0,0.132208063539245,0.0,1.2600014566407667,TP2,True,0.0,0.0,4314.01566433939,0.25,0.0,0.0,0.0,150.03,0.03,150.0
LONG,2017-08-18 12:10:00+00:00,2017-08-18 12:15:00+00:00,2017-08-18 12:45:00+00:00,4339.667760010002,4296.122324998968,4299.561974578631,4378.038025441369,4417.276050872739,0.03457463007637429,-1.5055673070212978,-1.5055673070212978,0.0,0.0,0.0,-1.0857644238272963,STOP,False,0.0,0.5,,0.25,0.0,0.0,0.0,150.04240745671368,0.03,150.0124049757185
LONG,2017-08-19 20:40:00+00:00,2017-08-19 20:45:00+00:00,2017-08-19 20:50:00+00:00,4074.124662010002,4070.865362280394,4048.627781490806,4097.992218529194,4122.674437048388,0.036817045095055304,0.3774816102224523,0.3774816102224523,0.0,0.4374805027840891,0.0,0.4021238395944783,STOP,True,0.0,0.08333333333333333,4097.889768723731,0.25,0.0,0.0,0.0,149.99723140409918,0.03,149.9672379565079
LONG,2017-08-20 20:10:00+00:00,2017-08-20 20:15:00+00:00,2017-08-20 20:25:00+00:00,4158.751584010002,4128.1006153021835,4131.405739894099,4184.434260125901,4210.948520241803,0.036070574326695526,-1.1055980449605938,-1.1055980449605938,0.0,0.0,0.0,-1.1208638715962278,STOP,False,0.0,0.16666666666666666,,0.25,0.0,0.0,0.0,150.00855811729554,0.03,149.97856240481457
LONG,2017-08-20 20:40:00+00:00,2017-08-20 20:55:00+00:00,2017-08-20 22:20:00+00:00,4139.957826010002,4136.645859749194,4111.7363214527295,4166.5236785672705,4193.917357124541,0.036226307089437505,0.4193144909207873,0.4193144909207873,0.0,0.4793046443377274,0.0,0.41014332098271367,STOP,True,0.0,1.4166666666666667,4166.419515475306,0.25,0.0,0.0,0.0,149.9753835423584,0.03,149.94539446346573
LONG,2017-08-22 11:00:00+00:00,2017-08-22 11:05:00+00:00,2017-08-22 13:30:00+00:00,3886.257096010002,3883.148090333194,3831.928887610115,3939.031112409885,3992.5822248097697,0.03859445265393398,0.9564966430822915,0.9564966430822915,0.0,1.016491829279481,0.0,0.4561767855514984,STOP,True,0.0,2.4166666666666665,3938.9326366320747,0.25,0.0,0.0,0.0,149.98796549297296,0.03,149.95797389819333
LONG,2017-08-23 02:55:00+00:00,2017-08-23 03:00:00+00:00,2017-08-23 06:00:00+00:00,4098.8196000100015,4040.2590841479214,4043.4938792513226,4152.506120768678,4207.0122415273545,0.0365999679836798,-2.1433130056599063,-2.1433130056599063,0.0,0.0,0.0,-1.0584681963297111,STOP,False,0.0,3.0,,0.25,0.0,0.0,0.0,150.0166661312453,0.03,149.98666879748583
LONG,2017-08-24 13:55:00+00:00,2017-08-24 14:00:00+00:00,2017-08-24 14:15:00+00:00,4160.711976010002,4191.647026967608,4143.944089633436,4175.815910386564,4191.751820763127,0.03604007072486601,0.827742935012931,0.827742935012931,0.0,0.27029222281820187,0.0,1.3697191436305358,TP2,True,0.0,0.25,4191.647026967608,0.25,0.0,0.0,0.0,149.95235388119747,0.03,149.922369407316
LONG,2017-08-25 08:50:00+00:00,2017-08-25 08:55:00+00:00,2017-08-25 10:55:00+00:00,4334.366700010002,4309.540331024578,4312.990723603461,4354.009276416538,4374.518552823077,0.034601869550022014,-0.8590387810343492,-0.8590387810343492,0.0,0.0,0.0,-1.1614145016471547,STOP,False,0.0,2.0,,0.25,0.0,0.0,0.0,149.9771911357055,0.03,149.9472016953664
LONG,2017-08-25 17:25:00+00:00,2017-08-25 17:35:00+00:00,2017-08-25 17:35:00+00:00,4416.063036010002,4376.777792084321,4380.28201769848,4450.077982321521,4484.975964633041,0.03395590452294035,-1.3339659919008549,-1.3339659919008549,0.0,0.0,0.0,-1.0979353237979328,STOP,False,0.0,0.0,,0.25,0.0,0.0,0.0,149.95141481804174,0.03,149.92143053193536
