side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps,fee_taker_rate_applied,fee_maker_rate_applied,fee_paid_usd,notional_usd,risk_per_trade,risk_usd,intended_risk_usd,effective_risk_usd,effective_risk_pct,position_notional,portfolio_risk_budget_hit,entry_fill_type,entry_slippage_bps_applied,exit_fill_type,exit_slippage_bps_applied,spread_half_bps_used,time_to_fill_steps_entry,time_to_fill_steps_exit
LONG,2017-10-04 15:45:00+00:00,2017-10-04 15:50:00+00:00,2017-10-04 16:30:00+00:00,293.558700010002,291.68055511642956,291.79727402604,295.20272599396003,296.90545197792005,3.7402368930096204,-7.0247068213572135,-7.0247068213572135,0.0,0.0,0.0,-1.0662638740845014,STOP,False,0.0,0.6666666666666666,,1.5,0.0,0.0,0.0,1097.979080041353,0.03,6.368598543893381,32.93278584407178,6.368598543893381,0.00580145139319253,1097.759528135726,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-05 01:30:00+00:00,2017-10-05 01:45:00+00:00,2017-10-05 03:25:00+00:00,292.448478010002,292.33149861879804,290.9739644243444,293.8060355956556,295.2220711813112,3.7304108255311896,2.2317318720618884,2.2317318720618884,0.0,2.4499224657175827,0.0,0.405729489625756,STOP,True,0.0,1.6666666666666667,293.76196469031623,1.5,0.0,0.0,0.0,1090.9529682786315,0.03,5.282394478067073,32.72204463943106,5.282394478067073,0.004842968588553565,1090.7348213143687,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-05 18:20:00+00:00,2017-10-05 18:25:00+00:00,2017-10-05 23:30:00+00:00,295.559100010002,295.440876369998,293.75037611442286,297.24962390557715,298.9992478011543,3.698702379524344,2.825277506459999,2.825277506459999,0.0,3.043914535759366,0.0,0.42231786059756243,STOP,True,0.0,5.083333333333333,297.2050364619913,1.5,0.0,0.0,0.0,1093.185146497068,0.03,6.471338065843837,32.78899659559292,6.471338065843837,0.005920893047438022,1092.9665531864307,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-06 02:35:00+00:00,2017-10-06 02:40:00+00:00,2017-10-06 05:55:00+00:00,294.998988010002,297.63497532675717,293.5701863795761,296.3098136404239,297.6796272708478,3.715304233592384,7.249239343041656,7.249239343041656,0.0,2.3524919242234876,0.0,1.3656082104161165,TP2,True,0.0,3.25,297.63497532675717,1.5,0.0,0.0,0.0,1096.0109890590293,0.03,5.089274380346437,32.87375492078672,5.089274380346437,0.00464438065497202,1095.7918306928907,0,market,2.0,maker_try,32.985890872775876,1.5,0,0
LONG,2017-10-06 07:40:00+00:00,2017-10-06 07:45:00+00:00,2017-10-06 08:15:00+00:00,299.95998001000197,299.839996017998,298.7274261310237,301.07257388897625,302.2451477679525,3.678029576522681,1.7423727237545035,1.7423727237545035,0.0,1.9630250594044805,0.0,0.38434384778065017,STOP,True,0.0,0.5,301.0274130028929,1.5,0.0,0.0,0.0,1103.2616782499395,0.03,4.312761407532633,33.09123210107797,4.312761407532633,0.003909882890754141,1103.0410700359323,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-06 14:20:00+00:00,2017-10-06 14:30:00+00:00,2017-10-06 19:35:00+00:00,300.610110010002,300.48986596599804,297.9793692797679,303.1206307402321,305.6912614704642,3.6758723763863856,4.309608564915717,4.309608564915717,0.0,4.5306094448053305,0.0,0.4456555837424645,STOP,True,0.0,5.083333333333333,303.0751626456211,1.5,0.0,0.0,0.0,1105.004399448239,0.03,9.449310491150127,33.14350328279061,9.449310491150127,0.008553088438351574,1104.783442759687,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-10 00:10:00+00:00,2017-10-10 00:20:00+00:00,2017-10-10 00:20:00+00:00,297.559500010002,295.7766136713004,295.8949716599644,299.1050283600356,300.71005671007117,3.7280438698733525,-6.6466784856773975,-6.6466784856773975,0.0,0.0,0.0,-1.0711060215113364,STOP,False,0.0,0.0,,1.5,0.0,0.0,0.0,1109.3148699348678,0.03,5.983616101323092,33.27279153973808,5.983616101323092,0.0053950532772491806,1109.0930513246028,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-13 07:45:00+00:00,2017-10-13 07:50:00+00:00,2017-10-13 08:10:00+00:00,326.22523201000206,331.7203275706276,323.3549534727049,328.9650465472952,331.7700930845903,3.3800784057061706,13.833926323698321,13.833926323698321,0.0,4.546999402817199,0.0,1.4259182923488374,TP2,True,0.0,0.3333333333333333,331.7203275706276,1.5,0.0,0.0,0.0,1102.6668621134934,0.03,9.481277227712173,33.073391185167765,9.481277227712173,0.008600216265664514,1102.4463728389255,0,market,2.0,maker_try,0.0,1.5,0,0
LONG,2017-10-13 18:55:00+00:00,2017-10-13 19:10:00+00:00,2017-10-13 20:00:00+00:00,346.079202010002,341.0488244214511,341.18529854086745,350.83470147913255,355.6594029482651,3.2261503977641177,-16.228754658207162,-16.228754658207162,0.0,0.0,0.0,-1.0278865572803113,STOP,False,0.0,0.8333333333333334,,1.5,0.0,0.0,0.0,1116.5035552224565,0.03,15.565212563735097,33.488408974878716,15.565212563735097,0.013943820898220027,1116.2802991626238,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-14 05:35:00+00:00,2017-10-14 05:45:00+00:00,2017-10-14 06:25:00+00:00,342.068400010002,341.931572649998,339.64020174608083,344.3597982739192,346.71959653783836,3.216524983836992,3.38204242884918,3.38204242884918,0.0,3.602096739811874,0.0,0.43302002258583894,STOP,True,0.0,0.6666666666666666,344.3081443041781,1.5,0.0,0.0,0.0,1100.2715548133174,0.03,7.590350072711184,33.001546335132495,7.590350072711184,0.00689999492353852,1100.0515445044166,0,market,2.0,market,4.0,1.5,0,0
