ts,equity_usdt,note
2025-05-22 23:50:00+00:00,1000.452583483375,
2025-05-23 04:00:00+00:00,1000.452583483375,
2025-05-23 08:10:00+00:00,1000.452583483375,
2025-05-23 12:20:00+00:00,1000.452583483375,
2025-05-23 16:30:00+00:00,1000.452583483375,
2025-05-23 20:40:00+00:00,1000.452583483375,
2025-05-24 00:50:00+00:00,1000.452583483375,
2025-05-24 05:00:00+00:00,1000.452583483375,
2025-05-24 09:10:00+00:00,1000.452583483375,
2025-05-24 13:20:00+00:00,1000.452583483375,
2025-05-24 17:30:00+00:00,1000.452583483375,
2025-05-24 21:40:00+00:00,1000.452583483375,
2025-05-25 01:50:00+00:00,1000.452583483375,
2025-05-25 06:00:00+00:00,1000.452583483375,
2025-05-25 10:10:00+00:00,1000.452583483375,
2025-05-25 14:20:00+00:00,1000.452583483375,
2025-05-25 18:30:00+00:00,1000.452583483375,
2025-05-25 22:40:00+00:00,1000.452583483375,
2025-05-26 00:40:00+00:00,1000.4524360248655,TP1
2025-05-26 00:45:00+00:00,1000.4451479948524,STOP
2025-05-26 02:50:00+00:00,1000.4451479948524,
2025-05-26 03:20:00+00:00,1000.4466514300109,TP1
2025-05-26 04:00:00+00:00,1000.4450039277813,STOP
2025-05-26 07:00:00+00:00,1000.4450039277813,
2025-05-26 11:10:00+00:00,1000.4450039277813,
2025-05-26 15:20:00+00:00,1000.4450039277813,
2025-05-26 19:30:00+00:00,1000.4450039277813,
2025-05-26 23:40:00+00:00,1000.4450039277813,
2025-05-27 03:50:00+00:00,1000.4450039277813,
2025-05-27 07:35:00+00:00,1000.5526966602874,TP1
2025-05-27 08:00:00+00:00,1000.5526966602874,
2025-05-27 12:10:00+00:00,1000.5526966602874,
2025-05-27 13:05:00+00:00,1000.7543759759106,TP2
2025-05-27 16:20:00+00:00,1000.7543759759106,
2025-05-27 20:30:00+00:00,1000.7543759759106,
2025-05-28 00:40:00+00:00,1000.7543759759106,
2025-05-28 04:50:00+00:00,1000.7543759759106,
2025-05-28 09:00:00+00:00,1000.7543759759106,
2025-05-28 13:10:00+00:00,1000.7543759759106,
2025-05-28 17:20:00+00:00,1000.7543759759106,
2025-05-28 21:30:00+00:00,1000.7543759759106,
2025-05-29 01:40:00+00:00,1000.7543759759106,
2025-05-29 05:50:00+00:00,1000.7543759759106,
2025-05-29 10:00:00+00:00,1000.7543759759106,
2025-05-29 14:10:00+00:00,1000.7543759759106,
2025-05-29 18:20:00+00:00,1000.7543759759106,
2025-05-29 22:30:00+00:00,1000.7543759759106,
2025-05-30 02:40:00+00:00,1000.7543759759106,
2025-05-30 06:50:00+00:00,1000.7543759759106,
2025-05-30 11:00:00+00:00,1000.7543759759106,
2025-05-30 15:10:00+00:00,1000.7543759759106,
2025-05-30 19:20:00+00:00,1000.7543759759106,
2025-05-30 23:30:00+00:00,1000.7543759759106,
2025-05-31 03:40:00+00:00,1000.7543759759106,
2025-05-31 07:50:00+00:00,1000.7543759759106,
2025-05-31 12:00:00+00:00,1000.7543759759106,
2025-05-31 16:10:00+00:00,1000.7543759759106,
2025-05-31 20:20:00+00:00,1000.7543759759106,
2025-06-01 00:30:00+00:00,1000.7543759759106,
2025-06-01 04:30:00+00:00,1000.800713168063,TP1
2025-06-01 04:40:00+00:00,1000.800713168063,
2025-06-01 06:20:00+00:00,1000.7900477317352,STOP
2025-06-01 08:50:00+00:00,1000.7900477317352,
2025-06-01 09:00:00+00:00,1000.7868970460751,TP1
2025-06-01 09:05:00+00:00,1000.7573878323494,STOP
2025-06-01 13:00:00+00:00,1000.7573878323494,
2025-06-01 17:10:00+00:00,1000.7573878323494,
2025-06-01 21:20:00+00:00,1000.7573878323494,
2025-06-02 01:30:00+00:00,1000.7573878323494,
2025-06-02 05:40:00+00:00,1000.7573878323494,
2025-06-02 09:50:00+00:00,1000.7573878323494,
2025-06-02 14:00:00+00:00,1000.7573878323494,
2025-06-02 18:10:00+00:00,1000.7573878323494,
2025-06-02 22:20:00+00:00,1000.7573878323494,
2025-06-03 02:30:00+00:00,1000.7573878323494,
2025-06-03 06:40:00+00:00,1000.7573878323494,
2025-06-03 10:50:00+00:00,1000.7573878323494,
2025-06-03 15:00:00+00:00,1000.7573878323494,
2025-06-03 19:10:00+00:00,1000.7573878323494,
2025-06-03 23:20:00+00:00,1000.7573878323494,
2025-06-04 03:30:00+00:00,1000.7573878323494,
