side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_usdt,pnl_R,exit_reason,took_tp1,month
SHORT,2022-01-01 04:05:00+00:00,2022-01-01 04:10:00+00:00,2022-01-01 04:35:00+00:00,172.668183990003,171.80509419602976,173.20321592220395,172.23678405779603,171.75356812559207,5.173670471909793,3.214967181686111,1.1614434729627416,TP2,True,2022-01
LONG,2022-01-01 07:30:00+00:00,2022-01-01 07:35:00+00:00,2022-01-01 09:05:00+00:00,172.611768010003,172.5599844796,172.04828146158974,173.07171855841028,173.58343710682055,4.895977023567775,0.8720848973398068,0.3161082579876083,STOP,True,2022-01
SHORT,2022-01-01 11:20:00+00:00,2022-01-01 11:25:00+00:00,2022-01-01 12:10:00+00:00,172.098354990003,172.1499844965,172.83312714015366,171.46687283984633,170.78374568969267,3.666968659278345,0.9688361883286214,0.3595758097931216,STOP,True,2022-01
LONG,2022-01-01 22:35:00+00:00,2022-01-01 22:40:00+00:00,2022-01-02 00:30:00+00:00,177.36319301000302,179.37056422834337,176.25280424209646,178.36719577790356,179.4243915458071,2.3699831496555217,3.5050437150842253,1.331904605395132,TP2,True,2022-01
SHORT,2022-01-03 08:25:00+00:00,2022-01-03 08:30:00+00:00,2022-01-03 09:35:00+00:00,173.008081990003,173.0599844146,173.60597394967283,172.51402603032716,171.96805207065432,4.602843083780335,0.8984734217180594,0.326479827129097,STOP,True,2022-01
LONG,2022-01-03 13:00:00+00:00,2022-01-03 13:15:00+00:00,2022-01-03 14:05:00+00:00,174.482329010003,174.42998431130002,173.81380835827,175.04619166173003,175.66238331346005,4.078099729609498,0.9359322389260981,0.343298366576721,STOP,True,2022-01
SHORT,2022-01-03 21:40:00+00:00,2022-01-03 21:55:00+00:00,2022-01-03 22:25:00+00:00,169.019278990003,170.20911284454928,170.1580654249218,167.98193455507817,166.89386912015635,2.309690837822717,-2.748148352376861,-1.0448261570933792,STOP,False,2022-01
SHORT,2022-01-04 05:30:00+00:00,2022-01-04 05:35:00+00:00,2022-01-04 07:25:00+00:00,167.23981299000297,168.37072347900312,168.3202274107799,166.25977256922008,165.22954514844017,2.431549651581158,-2.749865005497776,-1.046737684403466,STOP,False,2022-01
SHORT,2022-01-04 18:20:00+00:00,2022-01-04 18:25:00+00:00,2022-01-04 18:45:00+00:00,169.998984990003,167.76167695545018,171.21931821180686,168.88068176819314,167.71136354638628,2.135389953258504,3.5286753652669427,1.354116643217736,TP2,True,2022-01
SHORT,2022-01-04 22:50:00+00:00,2022-01-04 22:55:00+00:00,2022-01-04 23:25:00+00:00,168.789347990003,168.83998479439998,169.3114249923566,168.3685749876434,167.8971499852868,5.313015452172066,0.8490879435063855,0.306109658178211,STOP,True,2022-01
SHORT,2022-01-05 01:05:00+00:00,2022-01-05 01:10:00+00:00,2022-01-05 02:15:00+00:00,168.259506990003,168.3099848421,169.16537116107799,167.454628818922,166.599257647844,2.9275267380751053,1.0307293670267095,0.3886697105497949,STOP,True,2022-01
SHORT,2022-01-05 15:30:00+00:00,2022-01-05 15:35:00+00:00,2022-01-05 16:25:00+00:00,168.639392990003,168.6899848079,169.4701765317786,167.90982344822137,167.12964690644276,3.2110970492560535,1.0092554720458478,0.37832043200243265,STOP,True,2022-01
