side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-17 12:35:00+00:00,2022-01-17 12:45:00+00:00,2022-01-17 14:05:00+00:00,142.385759990001,143.07242422119714,143.0438154581055,141.75618452189448,141.11236905378897,18.918906243583795,-12.990936210822452,-15.420537144611808,2.1602226494221317,0.0,0.0,-1.0434746985296406,STOP,False,0.26937828436722533,1.3333333333333333,,1.0
LONG,2022-01-19 01:05:00+00:00,2022-01-19 01:10:00+00:00,2022-01-19 01:45:00+00:00,140.744073010001,142.209414200688,139.98318173282777,141.47681828717222,142.22363656434445,16.051465438606506,17.527708971992617,15.60042155833639,1.8143299824757906,5.767272232953067,0.45413663361492956,1.4351188215372068,TP2,True,0.11295743118043709,0.5833333333333334,142.209414200688,1.0
LONG,2022-01-19 15:55:00+00:00,2022-01-19 16:00:00+00:00,2022-01-19 16:10:00+00:00,136.983697010001,135.6419788218286,135.66911264435745,138.27088737564256,139.5717747412851,9.364786957102508,-12.564904988704305,-13.714419851894268,1.02123254928047,0.0,0.0,-1.0206406094869263,STOP,False,0.12828231390949393,0.16666666666666666,,1.0
SHORT,2022-01-19 18:20:00+00:00,2022-01-19 18:25:00+00:00,2022-01-19 22:25:00+00:00,136.86631199000098,136.89368525239897,137.85364095662248,135.9063590233775,134.932718056755,12.336275072674825,5.66845096780781,4.235560946237426,1.3484689979258246,5.837293015096845,0.33534917737219816,0.4653915257180204,STOP,True,0.08442102364455924,4.0,135.91994965927984,1.0
LONG,2022-01-20 07:25:00+00:00,2022-01-20 07:40:00+00:00,2022-01-20 08:00:00+00:00,137.463745010001,136.99587990360408,137.02328456051617,137.87671545948382,138.30343090896764,28.27187839742248,-13.227425394450687,-16.719856878972244,3.103795656223851,0.0,0.0,-1.0622182013030923,STOP,False,0.38863582829770393,0.3333333333333333,,1.0
LONG,2022-01-20 12:50:00+00:00,2022-01-20 12:55:00+00:00,2022-01-20 13:30:00+00:00,137.323731010001,138.19000940875438,136.86308511913325,137.75691490086678,138.20382979173354,26.526413259868754,17.052327012322948,13.949205948233429,2.920985762131602,5.562697610608372,0.7307662868759116,1.3955259599809575,TP2,True,0.18213530195791705,0.5833333333333334,138.19000940875438,1.0
SHORT,2022-01-21 00:45:00+00:00,2022-01-21 00:50:00+00:00,2022-01-21 01:05:00+00:00,127.62723599000101,125.02170039954878,128.9554002451996,126.32459973480042,125.00919947960082,9.145059926758634,17.812470564543116,16.827510639566075,0.9266019889062833,5.898581006549052,0.23107231188040553,1.4665126585178638,TP2,True,0.058357936070756275,0.25,125.02170039954878,1.0
SHORT,2022-01-21 03:05:00+00:00,2022-01-21 03:10:00+00:00,2022-01-21 12:10:00+00:00,125.32746599000102,120.1137350490487,127.95913754671949,122.72086243328053,120.10172487656105,4.673201685442965,18.244325210568043,17.753794494150014,0.46124669015318776,6.0619171002157906,0.11471133821926742,1.4834796522187654,TP2,True,0.029284026264838434,9.0,120.1137350490487,1.0
SHORT,2022-01-21 19:25:00+00:00,2022-01-21 19:30:00+00:00,2022-01-21 20:30:00+00:00,122.557742990001,117.44151977228326,125.1401115876981,119.9998883923019,117.4297767946038,4.84869236293339,18.575529120964074,18.077851259026584,0.4679656223147912,6.17203289955881,0.11638014533097069,1.4835368261158566,TP2,True,0.029712239622698554,1.0,117.44151977228326,1.0
SHORT,2022-01-21 23:30:00+00:00,2022-01-21 23:35:00+00:00,2022-01-22 00:30:00+00:00,111.998798990001,112.02119874979901,114.25748993957842,109.7625100404216,107.5150200908432,5.645254884794097,6.218002514204504,5.683067213184217,0.5033222126658184,6.281228690913458,0.12393986194150969,0.4876525801791321,STOP,True,0.031613088354468764,0.9166666666666666,109.77348629142564,1.0
