side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1
SHORT,2022-01-22 08:35:00+00:00,2022-01-22 08:40:00+00:00,2022-01-22 09:45:00+00:00,101.67965999000201,96.8970626996668,104.10146863516661,99.2985313448334,96.8970626996668,5.471081382356022,19.596663797017925,19.596663797017925,0.0,6.513674299788278,0.0,1.4790032956994643,TP2,True
SHORT,2022-01-23 17:55:00+00:00,2022-01-23 18:00:00+00:00,2022-01-23 18:25:00+00:00,98.330329990002,96.87273252234245,99.08863372382878,97.61136625617122,96.87273252234245,18.11938458723023,19.718974743723596,19.718974743723596,0.0,6.513590198775431,0.0,1.4351513149660473,TP2,True
SHORT,2022-01-23 20:55:00+00:00,2022-01-23 21:00:00+00:00,2022-01-23 22:50:00+00:00,95.680859990002,95.719132333998,96.78773757988466,94.61226240011536,93.5245248102307,12.530665487148765,6.4553304996100245,6.4553304996100245,0.0,6.695119469621499,0.0,0.46541968836855685,STOP,True
SHORT,2022-01-24 11:30:00+00:00,2022-01-24 11:35:00+00:00,2022-01-24 14:35:00+00:00,83.863223990002,87.57463561465408,87.53961976674739,80.22038021325261,76.56076043650522,3.7465005504132005,-13.904805694568992,-13.904805694568992,0.0,0.0,0.0,-1.0095245044421441,STOP,False
LONG,2022-01-24 19:45:00+00:00,2022-01-24 19:55:00+00:00,2022-01-24 20:20:00+00:00,88.67773201000199,91.23089209657978,87.3745539667101,89.94544605328988,91.23089209657978,10.530941774933885,20.118701495483354,20.118701495483354,0.0,6.675111388565422,0.0,1.46598315922127,TP2,True
SHORT,2022-01-26 02:40:00+00:00,2022-01-26 02:45:00+00:00,2022-01-26 03:20:00+00:00,93.091377990002,94.09199330115005,94.05437155252905,92.16562842747096,91.22125686494192,14.60065270122376,-14.609636645599672,-14.609636645599672,0.0,0.0,0.0,-1.0390674975254053,STOP,False
LONG,2022-01-26 10:20:00+00:00,2022-01-26 10:25:00+00:00,2022-01-26 11:55:00+00:00,96.029202010002,98.01907858420626,95.00546072289687,97.01453929710313,98.01907858420626,13.544339103515584,20.148652721500106,20.148652721500106,0.0,6.67287117391791,0.0,1.4531082700193356,TP2,True
LONG,2022-01-26 13:05:00+00:00,2022-01-26 13:20:00+00:00,2022-01-26 13:50:00+00:00,97.11942001000199,99.841649200275,95.72917541486248,98.4708246051375,99.841649200275,10.109009537399837,20.590201394284456,20.590201394284456,0.0,6.830680970555397,0.0,1.4650780875719722,TP2,True
LONG,2022-01-26 16:05:00+00:00,2022-01-26 16:15:00+00:00,2022-01-26 18:00:00+00:00,99.499896010002,97.18010990805897,97.21899750706179,101.74100251293821,104.00200501587642,6.2428309590250874,-14.482032495526123,-14.482032495526123,0.0,0.0,0.0,-1.0170492457041342,STOP,False
SHORT,2022-01-27 05:10:00+00:00,2022-01-27 05:15:00+00:00,2022-01-27 05:45:00+00:00,87.52249199000201,88.74268492014656,88.70720203933082,86.3727979406692,85.20559589133839,11.937976827208763,-14.566634924789586,-14.566634924789586,0.0,0.0,0.0,-1.0299506877955813,STOP,False
