ts,equity_usdt,note
2017-08-29 12:10:00+00:00,991.8316371699002,TP1
2017-08-29 12:20:00+00:00,991.7327588710598,STOP
2017-08-29 16:00:00+00:00,991.7327588710598,
2017-08-29 19:05:00+00:00,994.1337759131328,TP1
2017-08-29 19:05:00+00:00,999.0101899541941,TP2
2017-08-29 20:10:00+00:00,999.0101899541941,
2017-08-30 00:20:00+00:00,999.0101899541941,
2017-08-30 01:25:00+00:00,1004.1666000287453,TP1
2017-08-30 04:30:00+00:00,1004.1666000287453,
2017-08-30 04:50:00+00:00,1014.5543459420943,TP2
2017-08-30 08:40:00+00:00,1014.5543459420943,
2017-08-30 12:50:00+00:00,1014.5543459420943,
2017-08-30 17:00:00+00:00,1014.5543459420943,
2017-08-30 21:10:00+00:00,1014.5543459420943,
2017-08-31 01:20:00+00:00,1014.5543459420943,
2017-08-31 05:30:00+00:00,1014.5543459420943,
2017-08-31 06:35:00+00:00,1010.4358203734993,STOP
2017-08-31 09:40:00+00:00,1010.4358203734993,
2017-08-31 13:50:00+00:00,1010.4358203734993,
2017-08-31 18:00:00+00:00,1010.4358203734993,
2017-08-31 22:10:00+00:00,1010.4358203734993,
2017-09-01 02:20:00+00:00,1010.4358203734993,
2017-09-01 06:30:00+00:00,1010.4358203734993,
2017-09-01 10:40:00+00:00,1010.4358203734993,
2017-09-01 14:50:00+00:00,1010.4358203734993,
2017-09-01 19:00:00+00:00,1010.4358203734993,
2017-09-01 23:10:00+00:00,1010.4358203734993,
2017-09-02 03:20:00+00:00,1010.4358203734993,
2017-09-02 07:30:00+00:00,1010.4358203734993,
2017-09-02 11:40:00+00:00,1010.4358203734993,
2017-09-02 15:50:00+00:00,1010.4358203734993,
2017-09-02 20:00:00+00:00,1010.4358203734993,
2017-09-03 00:10:00+00:00,1010.4358203734993,
2017-09-03 04:20:00+00:00,1010.4358203734993,
2017-09-03 08:30:00+00:00,1010.4358203734993,
2017-09-03 12:40:00+00:00,1010.4358203734993,
2017-09-03 16:50:00+00:00,1010.4358203734993,
2017-09-03 21:00:00+00:00,1010.4358203734993,
2017-09-04 01:10:00+00:00,1010.4358203734993,
2017-09-04 05:20:00+00:00,1010.4358203734993,
2017-09-04 09:30:00+00:00,1010.4358203734993,
2017-09-04 13:40:00+00:00,1010.4358203734993,
2017-09-04 17:50:00+00:00,1010.4358203734993,
2017-09-04 22:00:00+00:00,1010.4358203734993,
2017-09-05 02:10:00+00:00,1010.4358203734993,
2017-09-05 06:20:00+00:00,1010.4358203734993,
2017-09-05 10:25:00+00:00,1023.4178317205972,TP1
