side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-17 06:35:00+00:00,2022-01-17 06:50:00+00:00,2022-01-17 07:35:00+00:00,143.01139199000198,143.72405148221324,143.66658484827394,142.41341513172603,141.78683027345207,234.54527823077956,-167.15091888449578,-183.95567243050573,13.450488873563337,0.0,0.0,-1.0877094937983065,STOP,False,3.3542646724466096,0.75,,1.0
SHORT,2022-01-17 12:35:00+00:00,2022-01-17 12:45:00+00:00,2022-01-17 14:05:00+00:00,142.37151999000199,143.10103298428876,143.0438154581055,141.75618452189448,141.11236905378897,219.69625887112514,-160.2712756426778,-175.94257505360588,12.543450379768153,0.0,0.0,-1.0851077076938442,STOP,False,3.1278490311599043,1.3333333333333333,,1.0
LONG,2022-01-19 01:05:00+00:00,2022-01-19 01:10:00+00:00,2022-01-19 01:45:00+00:00,140.758146010002,142.209414200688,139.98318173282777,141.47681828717222,142.22363656434445,182.32758444278744,196.5302456177896,179.76997323032072,15.477067749836424,64.22713382457366,5.158509404059599,1.3908981675182466,TP2,True,1.2832046376324424,0.5833333333333334,142.209414200688,1.0
LONG,2022-01-19 15:55:00+00:00,2022-01-19 16:00:00+00:00,2022-01-19 16:10:00+00:00,136.997394010002,135.61484499929972,135.66911264435745,138.27088737564256,139.5717747412851,108.8170086282026,-150.4448476265042,-157.86858195999275,5.932969672885763,0.0,0.0,-1.040855534423161,STOP,False,1.490764660602766,0.16666666666666666,,1.0
SHORT,2022-01-19 18:20:00+00:00,2022-01-19 18:25:00+00:00,2022-01-19 22:25:00+00:00,136.852623990002,136.907365039598,137.85364095662248,135.9063590233775,134.932718056755,140.52676389252096,61.68656145510113,51.13470432920512,9.59028430692026,65.53285273100433,3.8200781348105908,0.43852067966946506,STOP,True,0.9615728189757482,4.0,135.91994965927984,1.0
LONG,2022-01-20 07:25:00+00:00,2022-01-20 07:40:00+00:00,2022-01-20 08:00:00+00:00,137.477490010002,136.96847524669198,137.02328456051617,137.87671545948382,138.30343090896764,324.2363395323165,-165.0410836235448,-187.29567447128693,17.797071034848756,0.0,0.0,-1.1206707534800413,STOP,False,4.4575198128933655,0.3333333333333333,,1.0
LONG,2022-01-20 12:50:00+00:00,2022-01-20 12:55:00+00:00,2022-01-20 13:30:00+00:00,137.337462010002,138.19000940875438,136.86308511913325,137.75691490086678,138.20382979173354,297.0090901892887,186.85207157174827,160.2635222267967,24.54902561292672,60.24490794840609,8.182192891278703,1.326186648576773,TP2,True,2.039523732024835,0.5833333333333334,138.19000940875438,1.0
SHORT,2022-01-21 00:45:00+00:00,2022-01-21 00:50:00+00:00,2022-01-21 01:05:00+00:00,127.614471990002,125.02170039954878,128.9554002451996,126.32459973480042,125.00919947960082,104.56565615787915,202.3351399411161,193.74241484782326,7.925520543349062,66.77770862949139,2.6421071163233734,1.4430344691003103,TP2,True,0.6672045499437924,0.25,125.02170039954878,1.0
SHORT,2022-01-21 03:05:00+00:00,2022-01-21 03:10:00+00:00,2022-01-21 12:10:00+00:00,125.31493199000201,120.1137350490487,127.95913754671949,122.72086243328053,120.10172487656105,54.734797289601055,213.00031070789942,208.62710402229118,4.030252315616583,70.65708059471316,1.3435546477286953,1.47170752131186,TP2,True,0.34295436999164514,9.0,120.1137350490487,1.0
SHORT,2022-01-21 19:25:00+00:00,2022-01-21 19:30:00+00:00,2022-01-21 20:30:00+00:00,122.54548599000199,117.44151977228326,125.1401115876981,119.9998883923019,117.4297767946038,58.21411665364781,222.30701577509262,217.75891839048268,4.191403523769926,73.7455733778146,1.397277214008862,1.471804608988933,TP2,True,0.35669386083999693,1.0,117.44151977228326,1.0
