ts,equity_usdt,note
2022-01-11 10:00:00+00:00,997.2276204246127,
2022-01-11 14:10:00+00:00,997.2276204246127,
2022-01-11 16:00:00+00:00,997.9529613355371,TP1
2022-01-11 16:10:00+00:00,1000.1678154841788,TP2
2022-01-11 18:20:00+00:00,1000.1678154841788,
2022-01-11 22:30:00+00:00,1000.1678154841788,
2022-01-12 02:40:00+00:00,1000.1678154841788,
2022-01-12 06:00:00+00:00,1000.2942338191118,TP1
2022-01-12 06:05:00+00:00,999.8651381310812,STOP
2022-01-12 06:50:00+00:00,999.8651381310812,
2022-01-12 11:00:00+00:00,999.8651381310812,
2022-01-12 15:10:00+00:00,999.8651381310812,
2022-01-12 19:20:00+00:00,999.8651381310812,
2022-01-12 23:30:00+00:00,999.8651381310812,
2022-01-13 03:40:00+00:00,999.8651381310812,
2022-01-13 07:50:00+00:00,999.8651381310812,
2022-01-13 09:30:00+00:00,999.9296540569298,TP1
2022-01-13 09:40:00+00:00,999.4770325221889,STOP
2022-01-13 12:00:00+00:00,999.4770325221889,
2022-01-13 16:10:00+00:00,999.4770325221889,
2022-01-13 20:20:00+00:00,999.4770325221889,
2022-01-14 00:30:00+00:00,999.4770325221889,
2022-01-14 04:40:00+00:00,999.4770325221889,
2022-01-14 08:50:00+00:00,999.4770325221889,
2022-01-14 13:00:00+00:00,999.4770325221889,
2022-01-14 17:10:00+00:00,999.4770325221889,
2022-01-14 21:20:00+00:00,999.4770325221889,
2022-01-14 23:20:00+00:00,996.2902770201975,STOP
2022-01-15 01:30:00+00:00,996.2902770201975,
2022-01-15 05:40:00+00:00,996.2902770201975,
2022-01-15 09:50:00+00:00,996.2902770201975,
2022-01-15 14:00:00+00:00,996.2902770201975,
2022-01-15 18:10:00+00:00,996.2902770201975,
2022-01-15 22:20:00+00:00,996.2902770201975,
2022-01-16 02:30:00+00:00,996.2902770201975,
2022-01-16 06:40:00+00:00,996.2902770201975,
2022-01-16 10:20:00+00:00,996.4754336611824,TP1
2022-01-16 10:45:00+00:00,996.0706493750773,STOP
2022-01-16 10:50:00+00:00,996.0706493750773,
2022-01-16 15:00:00+00:00,996.0706493750773,
2022-01-16 17:05:00+00:00,992.6546312034264,STOP
2022-01-16 19:10:00+00:00,992.6546312034264,
2022-01-16 23:20:00+00:00,992.6546312034264,
2022-01-17 03:30:00+00:00,992.6546312034264,
2022-01-17 07:35:00+00:00,988.6968136703784,STOP
2022-01-17 07:40:00+00:00,988.6968136703784,
2022-01-17 11:50:00+00:00,988.6968136703784,
2022-01-17 14:05:00+00:00,984.8004287033641,STOP
2022-01-17 16:00:00+00:00,984.8004287033641,
2022-01-17 20:10:00+00:00,984.8004287033641,
2022-01-18 00:20:00+00:00,984.8004287033641,
2022-01-18 04:30:00+00:00,984.8004287033641,
2022-01-18 06:00:00+00:00,980.6914732092649,STOP
2022-01-18 08:40:00+00:00,980.6914732092649,
2022-01-18 12:50:00+00:00,980.6914732092649,
2022-01-18 17:00:00+00:00,980.6914732092649,
2022-01-18 21:10:00+00:00,980.6914732092649,
2022-01-19 01:20:00+00:00,980.321686551357,
2022-01-19 01:40:00+00:00,981.1302480709326,TP1
2022-01-19 01:45:00+00:00,983.1630807987216,TP2
2022-01-19 05:30:00+00:00,983.1630807987216,
