side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_usdt,pnl_R,exit_reason,took_tp1,month
SHORT,2022-01-01 04:05:00+00:00,2022-01-01 04:10:00+00:00,2022-01-01 04:35:00+00:00,172.63363999000498,171.83944490965487,173.20321592220395,172.23678405779603,171.75356812559207,5.173670471909793,2.858278636143372,0.969960770870633,TP2,True,2022-01
LONG,2022-01-01 07:30:00+00:00,2022-01-01 07:35:00+00:00,2022-01-01 09:05:00+00:00,172.646280010005,172.55995687,172.04828146158974,173.07171855841028,173.58343710682055,4.892491825169644,0.6178716896399941,0.21118742661704418,STOP,True,2022-01
SHORT,2022-01-01 11:20:00+00:00,2022-01-01 11:25:00+00:00,2022-01-01 12:10:00+00:00,172.063924990005,172.14995695250002,172.83312714015366,171.46687283984633,170.78374568969267,3.662193159426496,0.7787411155997565,0.27644667345348684,STOP,True,2022-01
LONG,2022-01-01 22:35:00+00:00,2022-01-01 22:40:00+00:00,2022-01-02 00:30:00+00:00,177.398655010005,179.3346793500342,176.25280424209646,178.36719577790356,179.4243915458071,2.365854591175737,3.330391635718292,1.2285114208971408,TP2,True,2022-01
SHORT,2022-01-03 08:25:00+00:00,2022-01-03 08:30:00+00:00,2022-01-03 09:35:00+00:00,172.973469990005,173.05995672499998,173.60597394967283,172.51402603032716,171.96805207065432,4.593281304817654,0.6584473611701737,0.22663906469314724,STOP,True,2022-01
LONG,2022-01-03 13:00:00+00:00,2022-01-03 13:15:00+00:00,2022-01-03 14:05:00+00:00,174.517215010005,174.4299564025,173.81380835827,175.04619166173003,175.66238331346005,4.067373108544682,0.7203215041302289,0.25177111100350996,STOP,True,2022-01
SHORT,2022-01-03 21:40:00+00:00,2022-01-03 21:55:00+00:00,2022-01-03 22:25:00+00:00,168.985464990005,170.24314445763426,170.1580654249218,167.98193455507817,166.89386912015635,2.3024731143531887,-2.895773160690401,-1.0725558597618068,STOP,False,2022-01
SHORT,2022-01-04 05:30:00+00:00,2022-01-04 05:35:00+00:00,2022-01-04 07:25:00+00:00,167.206354990005,168.4043875244853,168.3202274107799,166.25977256922008,165.22954514844017,2.4231929744863034,-2.9030640207586607,-1.0755563313497303,STOP,False,2022-01
SHORT,2022-01-04 18:20:00+00:00,2022-01-04 18:25:00+00:00,2022-01-04 18:45:00+00:00,169.964974990005,167.79521922815948,171.21931821180686,168.88068176819314,167.71136354638628,2.1273556184512716,3.3714423772477273,1.2634534901141925,TP2,True,2022-01
SHORT,2022-01-04 22:50:00+00:00,2022-01-04 22:55:00+00:00,2022-01-04 23:25:00+00:00,168.755579990005,168.83995778,169.3114249923566,168.3685749876434,167.8971499852868,5.291498587258381,0.5779452141804772,0.1964962570038704,STOP,True,2022-01
SHORT,2022-01-05 01:05:00+00:00,2022-01-05 01:10:00+00:00,2022-01-05 02:15:00+00:00,168.225844990005,168.30995791249998,169.16537116107799,167.454628818922,166.599257647844,2.9138448401301105,0.8790719262323973,0.3211065070648519,STOP,True,2022-01
SHORT,2022-01-05 15:30:00+00:00,2022-01-05 15:35:00+00:00,2022-01-05 16:25:00+00:00,168.60565499000498,168.6899578175,169.4701765317786,167.90982344822137,167.12964690644276,3.1949916995412626,0.842796960044483,0.30512472915488903,STOP,True,2022-01
SHORT,2022-01-05 23:55:00+00:00,2022-01-06 00:00:00+00:00,2022-01-06 03:45:00+00:00,154.012954990005,149.53457165231868,156.40507911927352,151.77492086072647,149.45984173145294,1.0766852186443159,3.574880250999872,1.3879986254235648,TP2,True,2022-01
SHORT,2022-01-06 23:50:00+00:00,2022-01-07 00:00:00+00:00,2022-01-07 00:35:00+00:00,149.944989990005,146.9930904281322,151.5701846785871,148.4698153014129,146.91963061282578,1.613286825365106,3.5111891823465333,1.33917473807764,TP2,True,2022-01
SHORT,2022-01-07 05:25:00+00:00,2022-01-07 05:40:00+00:00,2022-01-07 06:40:00+00:00,139.80006499000498,136.8016584377757,141.4383540890601,138.30164589093988,136.73329179187976,1.5995813156674392,3.5412129636389897,1.3513105931372416,TP2,True,2022-01
SHORT,2022-01-07 10:15:00+00:00,2022-01-07 10:20:00+00:00,2022-01-07 11:10:00+00:00,140.329799990005,140.39996489,141.69449980103425,139.10550017896574,137.81100036793148,1.9441297096395467,1.0542842008286115,0.39737023196946764,STOP,True,2022-01
LONG,2022-01-08 23:35:00+00:00,2022-01-08 23:40:00+00:00,2022-01-08 23:55:00+00:00,143.57175001000502,141.69181186267087,141.7626932092755,145.2373068107245,146.974613611449,1.4494976261196704,-2.724965881812653,-1.0391813825724285,STOP,False,2022-01
SHORT,2022-01-09 15:40:00+00:00,2022-01-09 15:45:00+00:00,2022-01-09 16:00:00+00:00,139.490219990005,140.43639609841838,140.36621299192242,138.75378698807756,137.94757398615513,3.1140439128234707,-2.9464339508637387,-1.0801183415190976,STOP,False,2022-01
SHORT,2022-01-10 00:30:00+00:00,2022-01-10 00:35:00+00:00,2022-01-10 02:40:00+00:00,140.919504990005,140.9899647425,142.6727579657637,139.3072420142363,137.6244840384726,1.486531773836051,1.0941985798047011,0.41983376689537427,STOP,True,2022-01
LONG,2022-01-11 04:30:00+00:00,2022-01-11 04:35:00+00:00,2022-01-11 04:45:00+00:00,136.788360010005,136.10309535136363,136.17118094183456,137.26881907816545,137.8176381463309,4.561381160783439,-3.1257533040773864,-1.1103174005443224,STOP,False,2022-01
LONG,2022-01-11 15:50:00+00:00,2022-01-11 15:55:00+00:00,2022-01-11 16:10:00+00:00,136.738335010005,138.8304758762655,135.55503709540744,137.78496292459255,138.8999258391851,2.2360107393998727,3.4321381870278747,1.297169656734283,TP2,True,2022-01
LONG,2022-01-12 05:55:00+00:00,2022-01-12 06:00:00+00:00,2022-01-12 06:05:00+00:00,140.360145010005,140.2899649375,139.75852573424507,140.82147428575493,141.35294856150986,4.704685913836062,0.7544868717478662,0.26656265766827286,STOP,True,2022-01
LONG,2022-01-13 09:20:00+00:00,2022-01-13 09:25:00+00:00,2022-01-13 09:40:00+00:00,151.445685010005,151.3699621675,150.8265209281918,151.91347909180823,152.45695817361644,4.599372687925814,0.7269641982090356,0.2552752243206415,STOP,True,2022-01
LONG,2022-01-14 21:15:00+00:00,2022-01-14 21:30:00+00:00,2022-01-14 23:20:00+00:00,147.56374501000502,146.03090800181445,146.10395998180536,148.87604003819467,150.26208006638933,1.8027564359451194,-2.7633317817704097,-1.0500429711085624,STOP,False,2022-01
LONG,2022-01-16 09:40:00+00:00,2022-01-16 09:45:00+00:00,2022-01-16 10:45:00+00:00,149.374650010005,149.299962685,148.7027462896104,149.89725373038965,150.49450745077928,4.170297492539046,0.7776932749168014,0.2775455449892253,STOP,True,2022-01
LONG,2022-01-16 16:15:00+00:00,2022-01-16 16:20:00+00:00,2022-01-16 17:05:00+00:00,150.525225010005,149.32685914355054,149.40155992351228,151.4984400964877,152.54688018297543,2.375125346246354,-2.8462691434924423,-1.066479577286599,STOP,False,2022-01
SHORT,2022-01-17 06:35:00+00:00,2022-01-17 06:50:00+00:00,2022-01-17 07:35:00+00:00,142.968479990005,143.7384181406981,143.66658484827394,142.41341513172603,141.78683027345207,3.9605754036966134,-3.0493981020027223,-1.1028975684287117,STOP,False,2022-01
SHORT,2022-01-17 12:35:00+00:00,2022-01-17 12:45:00+00:00,2022-01-17 14:05:00+00:00,142.328799990005,143.11533736583456,143.0438154581055,141.75618452189448,141.11236905378897,3.8392088364221326,-3.0196812434611515,-1.100028476193742,STOP,False,2022-01
SHORT,2022-01-18 05:20:00+00:00,2022-01-18 05:30:00+00:00,2022-01-18 06:00:00+00:00,138.730599990005,139.4101936973197,139.3405234356019,138.2594765443981,137.7189530987962,4.554846032657883,-3.0954447015815987,-1.1142278792867288,STOP,False,2022-01
LONG,2022-01-19 01:05:00+00:00,2022-01-19 01:10:00+00:00,2022-01-19 01:45:00+00:00,140.800365010005,142.15252474606228,139.98318173282777,141.47681828717222,142.22363656434445,3.282898608623324,3.213751906798063,1.1979409385639346,TP2,True,2022-01
LONG,2022-01-19 15:55:00+00:00,2022-01-19 16:00:00+00:00,2022-01-19 16:10:00+00:00,137.03848501000502,135.6012780880353,135.66911264435745,138.27088737564256,139.5717747412851,1.8894085429008378,-2.71547103628583,-1.0495369689237812,STOP,False,2022-01
SHORT,2022-01-19 18:20:00+00:00,2022-01-19 18:25:00+00:00,2022-01-19 22:25:00+00:00,136.81155999000498,136.87996576999998,137.85364095662248,135.9063590233775,134.932718056755,2.5164191448416946,0.9673643730386604,0.3688974425933514,STOP,True,2022-01
LONG,2022-01-20 07:25:00+00:00,2022-01-20 07:40:00+00:00,2022-01-20 08:00:00+00:00,137.518725010005,136.9547729182359,137.02328456051617,137.87671545948382,138.30343090896764,5.744183896604188,-3.239444523996288,-1.1382843131822566,STOP,False,2022-01
