"symbol","makerFeeRate","takerFeeRate","apiAllowed","amount24","lastPrice","baseCoin","quoteCoin"
"XOMSTOCK_USDT","0","0","False","114074,3523","151,66","XOMSTOCK","USDT"
"PEPSTOCK_USDT","0","0","False","111418,7757","168,7","PEPSTOCK","USDT"
"UNHSTOCK_USDT","0","0","False","110235,7772","272,53","UNHSTOCK","USDT"
"ASMLSTOCK_USDT","0","0","False","110217,7696","1423,75","ASMLSTOCK","USDT"
"UBERSTOCK_USDT","0","0","False","110169,307","73,57","UBERSTOCK","USDT"
"ICP_USDC","0","0","False","109902,27","2,365","ICP","USDC"
"BABASTOCK_USDT","0","0","False","109465,3519","166,54","BABASTOCK","USDT"
"CRMSTOCK_USDT","0","0","False","109389,8078","193,7","CRMSTOCK","USDT"
"JDSTOCK_USDT","0","0","False","107688,9875","28,41","JDSTOCK","USDT"
"NGAS_USDT","0","0","False","106341,7056","3,92","NGAS","USDT"
"AMDSTOCK_USDT","0","0","False","105995,9044","213,09","AMDSTOCK","USDT"
"LLYSTOCK_USDT","0","0","False","103539,09698","1033,5","LLYSTOCK","USDT"
"POL_USDC","0","0","False","103359,019","0,091","POL","USDC"
"STRK_USDC","0","0","False","103254,917","0,0463","STRK","USDC"
"MCDSTOCK_USDT","0","0","False","103249,6197","325,81","MCDSTOCK","USDT"
"QCOMSTOCK_USDT","0","0","False","103045,3873","140,63","QCOMSTOCK","USDT"
"GSSTOCK_USDT","0","0","False","102739,8564","952,08","GSSTOCK","USDT"
"CSCOSTOCK_USDT","0","0","False","102394,0851","87,26","CSCOSTOCK","USDT"
"AVGOSTOCK_USDT","0","0","False","102275,2798","342,41","AVGOSTOCK","USDT"
"GESTOCK_USDT","0","0","False","102030,49531","317,19","GESTOCK","USDT"
"MASTOCK_USDT","0","0","False","101377,45978","541,66","MASTOCK","USDT"
"WMTSTOCK_USDT","0","0","False","101222,0299","127","WMTSTOCK","USDT"
"NKESTOCK_USDT","0","0","False","100875,6992","63,42","NKESTOCK","USDT"
"VSTOCK_USDT","0","0","False","100811,0814","331,03","VSTOCK","USDT"
"ADBESTOCK_USDT","0","0","False","99869,1444","264,06","ADBESTOCK","USDT"
"FUTUSTOCK_USDT","0","0","False","99367,9987","160,02","FUTUSTOCK","USDT"
"NOWSTOCK_USDT","0","0","False","87551,1995","531,06","NOWSTOCK","USDT"
"UKOIL_USDT","0","0","False","84703,25531","69,088","UKOIL","USDT"
