side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
LONG,2022-01-19 15:55:00+00:00,2022-01-19 16:00:00+00:00,2022-01-19 16:10:00+00:00,136.997394010002,135.61484499929972,135.66911264435745,138.27088737564256,139.5717747412851,111.40693903480856,-154.02555334794508,-155.55179938018506,0.0,0.0,0.0,-1.0408555344231611,STOP,False,1.5262460322399942,0.16666666666666666,,1.0
SHORT,2022-01-19 18:20:00+00:00,2022-01-19 18:25:00+00:00,2022-01-19 22:25:00+00:00,136.852623990002,136.907365039598,137.85364095662248,135.9063590233775,134.932718056755,144.05857011177866,63.23690656628848,62.25116689988625,0.0,67.17986523189761,0.0,0.4385206796694652,STOP,True,0.9857396664022294,4.0,135.91994965927984,1.0
LONG,2022-01-20 07:25:00+00:00,2022-01-20 07:40:00+00:00,2022-01-20 08:00:00+00:00,137.477490010002,136.96847524669198,137.02328456051617,137.87671545948382,138.30343090896764,333.07643450175095,-169.54082247204946,-174.1198736917276,0.0,0.0,0.0,-1.1206707534800413,STOP,False,4.579051219678155,0.3333333333333333,,1.0
SHORT,2022-01-21 00:45:00+00:00,2022-01-21 00:50:00+00:00,2022-01-21 01:05:00+00:00,127.614471990002,125.02170039954878,128.9554002451996,126.32459973480042,125.00919947960082,104.07878796508102,201.39304721638865,200.7289492378125,0.0,66.46678491405511,0.0,1.4430344691003103,TP2,True,0.6640979785761595,0.25,125.02170039954878,1.0
SHORT,2022-01-21 03:05:00+00:00,2022-01-21 03:10:00+00:00,2022-01-21 12:10:00+00:00,125.31493199000201,120.1137350490487,127.95913754671949,122.72086243328053,120.10172487656105,54.57030401499228,212.36018558940037,212.01826189258475,0.0,70.44473643456537,0.0,1.4717075213118602,TP2,True,0.34192369681562457,9.0,120.1137350490487,1.0
SHORT,2022-01-21 19:25:00+00:00,2022-01-21 19:30:00+00:00,2022-01-21 20:30:00+00:00,122.54548599000199,117.44151977228326,125.1401115876981,119.9998883923019,117.4297767946038,58.08606938226024,221.81803117107168,221.46212189098677,0.0,73.58336324751025,0.0,1.4718046089889332,TP2,True,0.35590928008490286,1.0,117.44151977228326,1.0
SHORT,2022-01-21 23:30:00+00:00,2022-01-21 23:35:00+00:00,2022-01-22 00:30:00+00:00,111.98759799000202,112.03239302919802,114.25748993957842,109.7625100404216,107.5150200908432,69.38030769393359,75.25392865669313,74.86544195637059,0.0,76.8078754579834,0.0,0.47784579785509124,STOP,True,0.3884867003225439,0.9166666666666666,109.77348629142564,1.0
SHORT,2022-01-22 08:35:00+00:00,2022-01-22 08:40:00+00:00,2022-01-22 09:45:00+00:00,101.67965999000201,96.90675240593677,104.10146863516661,99.2985313448334,96.8970626996668,65.8669884438532,235.28038605809724,234.9455194086204,0.0,78.09186171649507,0.0,1.4749526950371001,TP2,True,0.33486664947681927,1.0833333333333333,96.90675240593677,1.0
SHORT,2022-01-23 17:55:00+00:00,2022-01-23 18:00:00+00:00,2022-01-23 18:25:00+00:00,98.330329990002,96.88241979559469,99.08863372382878,97.61136625617122,96.87273252234245,223.6912092076531,241.26358437654554,240.16380285568297,0.0,79.32119327101552,0.0,1.4223276870381543,TP2,True,1.0997815208625552,0.4166666666666667,96.88241979559469,1.0
SHORT,2022-01-23 20:55:00+00:00,2022-01-23 21:00:00+00:00,2022-01-23 22:50:00+00:00,95.680859990002,95.719132333998,96.78773757988466,94.61226240011536,93.5245248102307,158.52241273162073,80.91491373296047,80.1565356940679,0.0,83.94842588853062,0.0,0.46114585252325385,STOP,True,0.7583780388925758,1.8333333333333333,94.62172362635536,1.0
