side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps,fee_taker_rate_applied,fee_maker_rate_applied,fee_paid_usd,notional_usd,risk_per_trade,risk_usd
LONG,2017-08-26 23:05:00+00:00,2017-08-26 23:10:00+00:00,2017-08-27 03:25:00+00:00,4330.866000010002,4329.99982681,4283.357512087994,4376.642487932006,4423.2849758540115,0.03461839568591094,0.7697859056413799,0.7697859056413799,0.0,0.7847786689264781,0.0,0.4680495256575784,STOP,True,0.0,4.25,4376.204823683212,1.0,0.0,0.0,0.0,149.92763285100463,0.03,149.89765332034057
LONG,2017-08-27 15:55:00+00:00,2017-08-27 16:05:00+00:00,2017-08-27 17:10:00+00:00,4325.8650000100015,4324.9998270099995,4289.395830276265,4360.604169743735,4396.20833947747,0.034663756508014607,0.5795422413072863,0.5795422413072863,0.0,0.5945373144119744,0.0,0.4584411512640599,STOP,True,0.0,1.0833333333333333,4360.168109326761,1.0,0.0,0.0,0.0,149.9507310468893,0.03,149.92074689750982
LONG,2017-09-05 09:30:00+00:00,2017-09-05 09:35:00+00:00,2017-09-05 12:15:00+00:00,4118.173470010002,4265.890550101446,4042.8664091051864,4191.833590914814,4266.317181819628,0.03641617379245993,4.0232227855561895,4.0232227855561895,0.0,1.3335773551938224,0.0,1.4670471465912263,TP2,True,0.0,2.6666666666666665,4265.890550101446,1.0,0.0,0.0,0.0,149.968120791382,0.03,149.93813316474905
LONG,2017-09-05 13:10:00+00:00,2017-09-05 13:15:00+00:00,2017-09-05 14:15:00+00:00,4235.7369780100025,4234.8898306144,4185.4753014951,4284.3046985249,4333.7193970398,0.03543393803568956,0.8378734261076796,0.8378734261076796,0.0,0.8528823102691153,0.0,0.4704592636839447,STOP,True,0.0,1.0,4283.876268055048,1.0,0.0,0.0,0.0,150.08884161428537,0.03,150.05882984831572
LONG,2017-09-05 15:00:00+00:00,2017-09-05 15:05:00+00:00,2017-09-05 15:20:00+00:00,4242.838398010002,4218.521186138078,4219.365059149907,4264.614940870092,4287.239881730185,0.03538055630747483,-0.8603564838754015,-0.8603564838754015,0.0,0.0,0.0,-1.035950276049745,STOP,False,0.0,0.25,,1.0,0.0,0.0,0.0,150.11398284430916,0.03,150.08396605109894
LONG,2017-09-05 20:45:00+00:00,2017-09-05 20:50:00+00:00,2017-09-05 21:15:00+00:00,4388.487522010001,4387.609824505599,4357.312564897106,4417.907435122893,4448.204870235786,0.034200431523367096,0.4805233281860833,0.4805233281860833,0.0,0.49553214488484904,0.0,0.45068907012792375,STOP,True,0.0,0.4166666666666667,4417.46564437938,1.0,0.0,0.0,0.0,150.088166987654,0.03,150.0581553565827
LONG,2017-09-06 00:20:00+00:00,2017-09-06 00:25:00+00:00,2017-09-06 01:50:00+00:00,4403.880600010002,4513.824956750974,4347.3618078202935,4458.638192199706,4514.276384389413,0.034084163310489995,2.7992656148403023,2.7992656148403023,0.0,0.9255849097272775,0.0,1.4531103615954912,TP2,True,0.0,1.4166666666666667,4513.824956750974,1.0,0.0,0.0,0.0,150.10258557063958,0.03,150.0725710564283
LONG,2017-09-06 11:30:00+00:00,2017-09-06 11:35:00+00:00,2017-09-06 11:55:00+00:00,4515.862992010002,4584.365839189574,4480.027839204132,4549.892160815868,4584.824321621736,0.033257559097874825,1.69741637515862,1.69741637515862,0.0,0.5582976309349648,0.0,1.4242582879768786,TP2,True,0.0,0.3333333333333333,4584.365839189574,1.0,0.0,0.0,0.0,150.18658033467847,0.03,150.1565490248735
LONG,2017-09-07 04:35:00+00:00,2017-09-07 04:40:00+00:00,2017-09-07 05:30:00+00:00,4505.890998010002,4559.782562227945,4477.365706971723,4532.6142930482765,4560.238586086553,0.033342465025625996,1.3363926359710843,1.3363926359710843,0.0,0.4379538384145534,0.0,1.4050969316902513,TP2,True,0.0,0.8333333333333334,4559.782562227945,1.0,0.0,0.0,0.0,150.23751301043148,0.03,150.20747151612827
LONG,2017-09-07 15:10:00+00:00,2017-09-07 15:15:00+00:00,2017-09-07 15:50:00+00:00,4677.265266010002,4752.5026526086785,4638.00602481314,4714.653975206859,4752.977950403719,0.032129375663155955,1.801729126210086,1.801729126210086,0.0,0.5930639972385998,0.0,1.4283851009196085,TP2,True,0.0,0.5833333333333334,4752.5026526086785,1.0,0.0,0.0,0.0,150.27761280786643,0.03,150.24756329520739
